Date,Description,Amount,Currency
2020-05-21,LARACASTS,9,USD
2020-05-22,STOPLIGHT INC,87,USD
2020-05-23,BUENO TECHNOLOGIES INC,8,USD
2020-05-24,INTUIT QUICKBOOKS,42.64,USD
2020-05-25,FRESHWORKS INC,116,USD
2020-05-26,FIGMA INC.,60,USD
2020-05-27,MIXPANEL INC.,150,USD
2020-05-28,CENTER CENTRE INC,29,USD
2020-05-29,PAYPAL *MONGODBLTD,71.63,USD
2020-05-30,84CODES*CLOUDAMQP.COM,99,USD
2020-05-31,PayPal,31.03,USD
2020-06-01,PayPal,622.87,USD
2020-06-02,CHARGE.ELASTIC.CO,845.36,USD
2020-06-03,TYPEFORM S.L,70,USD
2020-06-04,ZEPLIN INC.,29,USD
2020-06-05,PAYPAL *MONGODBLTD,1007.05,USD
2020-06-06,POSTMARK,75,USD
2020-06-07,PayPal,29.95,USD
2020-06-08,BROWSERSTACK INC,39,USD
2020-06-09,PLURALSIGHT,29,USD
2020-06-10,LARACASTS,9,USD
2020-06-11,SENTRY,80,USD
2020-06-12,STOPLIGHT INC,87,USD
2020-06-13,ATLASSIAN,493.6,USD
2020-06-14,BUENO TECHNOLOGIES INC,8,USD
2020-06-15,INTUIT QUICKBOOKS,42.64,USD
2020-06-16,FIGMA INC.,75,USD
2020-06-17,CENTER CENTRE INC,29,USD
2020-06-18,PAYPAL,99,USD
2020-06-19,84CODES*CLOUDAMQP.COM,99,USD
2020-06-20,PayPal,31.03,USD
2020-06-21,CHARGE.ELASTIC.CO,826.19,USD
2020-06-22,PayPal,392.87,USD
2020-06-23,ZEPLIN INC.,23.34,USD
2020-06-24,PayPal,29.95,USD
2020-06-25,BROWSERSTACK INC,39,USD
2020-06-26,PLURALSIGHT,29,USD
2020-06-27,LARACASTS,9,USD
2020-06-28,PayPal,99,USD
2020-06-29,PayPal,1.95,USD
2020-06-30,SENTRY,151.15,USD
2020-07-01,HUBSPOT ASIA PTE LTD,7873,USD
2020-07-02,STOPLIGHT INC,87,USD
2020-07-03,ATLASSIAN,558.7,USD
2020-07-04,BUENO TECHNOLOGIES INC,8,USD
2020-07-05,INTUIT QUICKBOOKS,42.64,USD
2020-07-06,FIGMA INC.,75,USD
2020-07-07,APPCUES INC.,299,USD
2020-07-08,CENTER CENTRE INC,29,USD
2020-07-09,New Relic,2411,USD
2020-07-10,84CODES*CLOUDAMQP.COM,99,USD
2020-07-11,CHARGE.ELASTIC.CO,744.83,USD
2020-07-12,PAYPAL,99,USD
2020-07-13,PLURALSIGHT,29,USD
2020-07-14,LARACASTS,9,USD
2020-07-15,POSTMARK,75,USD
2020-07-16,SENTRY,128,USD
2020-07-17,STOPLIGHT INC,77.15,USD
2020-07-18,ATLASSIAN,558.7,USD
2020-07-19,BUENO TECHNOLOGIES INC,8,USD
2020-07-20,INTUIT QUICKBOOKS,42.64,USD
2020-07-21,FIGMA INC.,75,USD
2020-07-22,CENTER CENTRE INC,29,USD
2020-07-23,New Relic,2411,USD
2020-07-24,84CODES*CLOUDAMQP.COM,99,USD
2020-07-25,PayPal,31.03,USD
2020-07-26,PUSHY,17.14,USD
2020-07-27,CHARGE.ELASTIC.CO,789.09,USD
2020-07-28,LARACASTS,9,USD
2020-07-29,PayPal,374.87,USD
2020-07-30,PayPal,29.95,USD
2020-07-31,BROWSERSTACK INC,129,USD
2020-08-01,EGGHEAD IO LLC,49.99,USD
2020-08-02,PLURALSIGHT,29,USD
2020-08-03,SENTRY,80,USD
2020-08-04,STOPLIGHT INC,116,USD
2020-08-05,FRESHWORKS INC,75,USD
2020-08-06,ATLASSIAN,586.6,USD
2020-08-07,BUENO TECHNOLOGIES INC,8,USD
2020-08-08,INTUIT QUICKBOOKS,42.64,USD
2020-08-09,FRESHWORKS INC,116,USD
2020-08-10,RUSTICI SOFTWARE,340.26,USD
2020-08-11,FIGMA INC.,75,USD
2020-08-12,CENTER CENTRE INC,29,USD
2020-08-13,New Relic,2411,USD
2020-08-14,84CODES*CLOUDAMQP.COM,99,USD
2020-08-15,MONGODB LTD,107.79,USD
2020-08-16,MONGODB LTD,1007.72,USD
2020-08-17,PayPal,29,USD
2020-08-18,INSTABUG,209,USD
2020-08-19,PUSHY,16.91,USD
2020-08-20,PayPal,469.87,USD
2020-08-21,ZEPLIN INC.,100,USD
2020-08-22,PayPal,29.95,USD
2020-08-23,BROWSERSTACK INC,129,USD
2020-08-24,PLURALSIGHT,29,USD
2020-08-25,LARACASTS,9,USD
2020-08-26,SENTRY,80,USD
2020-08-27,STOPLIGHT INC,116,USD
2020-08-28,FRESHWORKS INC,75,USD
2020-08-29,PAYPAL,50,USD
2020-08-30,ATLASSIAN,605.2,USD
2020-08-31,BUENO TECHNOLOGIES INC,8,USD
2020-09-01,INTUIT QUICKBOOKS,42.64,USD
2020-09-02,PayPal,21.44,USD
2020-09-03,FRESHWORKS INC,116,USD
2020-09-04,RUSTICI SOFTWARE,367.98,USD
2020-09-05,FIGMA INC.,75,USD
2020-09-06,MONGODB LTD,71.84,USD
2020-09-07,New Relic,2411,USD
2020-09-08,MONGODB LTD,1007.74,USD
2020-09-09,CENTER CENTRE INC,29,USD
2020-09-10,CHARGE.ELASTIC.CO,748.44,USD
2020-09-11,84CODES*CLOUDAMQP.COM,99,USD
2020-09-12,PayPal,29,USD
2020-09-13,PUSHY,2.78,USD
2020-09-14,INSTABUG,209,USD
2020-09-15,PayPal,933.87,USD
2020-09-16,ZEPLIN INC.,100,USD
2020-09-17,PayPal,29.95,USD
2020-09-18,BROWSERSTACK INC,129,USD
2020-09-19,PLURALSIGHT,29,USD
2020-09-20,101DOMAIN.COM,59.99,USD
2020-09-21,LARACASTS,9,USD
2020-09-22,SENTRY,80,USD
2020-09-23,STOPLIGHT INC,104.77,USD
2020-09-24,FRESHWORKS INC,75,USD
